"D" "Ds" "dist_type" "epsilon" "ppv"
"219" "500" "150" "right_skew" "-0.4" "3.1434184675835"
"220" "500" "150" "right_skew" "-0.2" "39.1389432485323"
"221" "500" "150" "right_skew" "0" "100"
"222" "500" "150" "right_skew" "0.2" "88.1091617933723"
"223" "500" "150" "right_skew" "0.4" "71.3450292397661"
"224" "500" "150" "right_skew" "0.6" "53.9961013645224"
"225" "500" "150" "right_skew" "0.8" "39.84375"
"226" "500" "150" "right_skew" "1" "33.203125"
"227" "500" "150" "right_skew" "1.2" "26.8101761252446"
"228" "500" "150" "right_skew" "1.4" "24.0704500978474"
"229" "500" "150" "right_skew" "1.6" "21.9178082191781"
"230" "500" "150" "right_skew" "1.8" "20.5479452054795"
"231" "500" "150" "right_skew" "2" "17.2211350293542"
"232" "500" "150" "left_skew" "-2" "18.2341650671785"
"233" "500" "150" "left_skew" "-1.8" "20.5374280230326"
"234" "500" "150" "left_skew" "-1.6" "21.6890595009597"
"235" "500" "150" "left_skew" "-1.4" "24.9520153550864"
"236" "500" "150" "left_skew" "-1.2" "28.7907869481766"
"237" "500" "150" "left_skew" "-1" "33.7811900191939"
"238" "500" "150" "left_skew" "-0.8" "38.5057471264368"
"239" "500" "150" "left_skew" "-0.6" "50.1915708812261"
"240" "500" "150" "left_skew" "-0.4" "68.007662835249"
"241" "500" "150" "left_skew" "-0.2" "83.9080459770115"
"242" "500" "150" "left_skew" "0" "100"
"243" "500" "150" "left_skew" "0.2" "35.5086372360845"
"244" "500" "150" "left_skew" "0.4" "3.07101727447217"
"245" "500" "150" "left_skew" "0.6" "1.74081237911025"
"246" "500" "150" "left_skew" "0.8" "1.74418604651163"
"247" "500" "150" "left_skew" "1" "1.73410404624277"
"248" "500" "150" "left_skew" "1.2" "2.50481695568401"
"249" "500" "150" "left_skew" "1.4" "2.5"
"250" "500" "150" "left_skew" "1.6" "3.84615384615385"
"251" "500" "150" "left_skew" "1.8" "4.03846153846154"
"252" "500" "150" "left_skew" "2" "4.42307692307692"
"253" "10000" "15" "norm" "-2" "29.0393013100437"
"254" "10000" "15" "norm" "-1.8" "26.8558951965066"
"255" "10000" "15" "norm" "-1.6" "25.9825327510917"
"256" "10000" "15" "norm" "-1.4" "25.764192139738"
"257" "10000" "15" "norm" "-1.2" "26.4192139737991"
"258" "10000" "15" "norm" "-1" "28.3842794759825"
"259" "10000" "15" "norm" "-0.8" "34.4978165938865"
